Model,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Macro_Precision,Macro_Recall
Random Forest Default,0.7007194244604317,0.5042217065084952,0.5385012360286505,0.6898803198772935,0.597186722517697,0.5042217065084952
Extra Trees Balanced,0.6719424460431654,0.5241260598433893,0.5207428202770756,0.6738504464129909,0.5175400887414361,0.5241260598433893
Random Forest Balanced,0.6719424460431654,0.49215581340115366,0.49917601247152577,0.6678772644534974,0.5079043269227318,0.49215581340115366
Decision Tree Balanced,0.6244604316546762,0.5339192172289128,0.4863523809584825,0.6419269851580468,0.4628308951584814,0.5339192172289128
Logistic Regression Balanced,0.5956834532374101,0.5089532902998608,0.4405172499487973,0.6303802292342696,0.4361380962749932,0.5089532902998608
Dummy Baseline,0.6489208633093525,0.25,0.1967713787085515,0.5107562117844991,0.16223021582733813,0.25
